ds,y
2025-06-01,1649.01
2025-06-02,1365.12
2025-06-03,2207.5
2025-06-04,2576.7
2025-06-05,2156.14
2025-06-06,2062.74
2025-06-07,2413.34
2025-06-08,1776.4
2025-06-09,1311.93
2025-06-10,2222.13
2025-06-11,2026.94
2025-06-12,2132.84
2025-06-13,2251.74
2025-06-14,1411.77
2025-06-15,1074.87
2025-06-16,1330.26
2025-06-17,1801.69
2025-06-18,2306.41
2025-06-19,2046.33
2025-06-20,1801.64
2025-06-21,2471.62
2025-06-22,1570.79
2025-06-23,1565.38
2025-06-24,1724.29
2025-06-25,2095.0
2025-06-26,2398.18
2025-06-27,1926.21
2025-06-28,2190.81
2025-06-29,1504.5
2025-06-30,1503.78
2025-07-01,2017.38
2025-07-02,2860.17
2025-07-03,2407.03
2025-07-04,2000.36
2025-07-05,2371.04
2025-07-06,1364.62
2025-07-07,1700.13
2025-07-08,1656.16
2025-07-09,1952.2
2025-07-10,2516.31
2025-07-11,2585.39
2025-07-12,2221.86
2025-07-13,1742.35
2025-07-14,1593.31
2025-07-15,1846.68
2025-07-16,2180.88
2025-07-17,2365.24
2025-07-18,2727.16
2025-07-19,2319.71
2025-07-20,1294.31
2025-07-21,1827.04
2025-07-22,2220.89
2025-07-23,2239.93
2025-07-24,2733.11
2025-07-25,2765.5
2025-07-26,2542.18
2025-07-27,1617.63
2025-07-28,1683.23
2025-07-29,2481.96
2025-07-30,2781.85
2025-07-31,2452.03
2025-08-01,2446.68
2025-08-02,1977.07
2025-08-03,1556.71
2025-08-04,2065.92
2025-08-05,2835.63
2025-08-06,2513.75
2025-08-07,2943.01
2025-08-08,2657.04
2025-08-09,2161.61
2025-08-10,2070.16
2025-08-11,2329.75
2025-08-12,2464.19
2025-08-13,3050.92
2025-08-14,1902.2
2025-08-15,2841.29
2025-08-16,2427.43
2025-08-17,1918.21
2025-08-18,1942.04
2025-08-19,1924.84
2025-08-20,2561.8
2025-08-21,2841.43
2025-08-22,3084.27
2025-08-23,2292.01
2025-08-24,1811.54
2025-08-25,1810.16
2025-08-26,2841.9
2025-08-27,2772.5
2025-08-28,2621.55
2025-08-29,2841.05
2025-08-30,2522.79
2025-08-31,2390.86
2025-09-01,1796.24
2025-09-02,2515.16
2025-09-03,2602.42
2025-09-04,2387.59
2025-09-05,2822.08
2025-09-06,2618.16
2025-09-07,2147.97
2025-09-08,1982.66
2025-09-09,2235.02
2025-09-10,2640.03
2025-09-11,2770.01
2025-09-12,2538.74
2025-09-13,2537.63
2025-09-14,2313.83
2025-09-15,2665.06
2025-09-16,2758.18
2025-09-17,2889.67
2025-09-18,2896.66
2025-09-19,2249.96
2025-09-20,2624.24
2025-09-21,2256.86
2025-09-22,2884.36
2025-09-23,2694.27
2025-09-24,2949.04
2025-09-25,2954.76
2025-09-26,2521.16
2025-09-27,3021.21
2025-09-28,2510.54
2025-09-29,2428.87
2025-09-30,2525.34
2025-10-01,3325.59
2025-10-02,2590.79
2025-10-03,3094.0
2025-10-04,3381.67
2025-10-05,2033.97
2025-10-06,2067.84
2025-10-07,2874.22
2025-10-08,2799.88
2025-10-09,2592.32
2025-10-10,2984.68
2025-10-11,2452.02
2025-10-12,2519.39
2025-10-13,2008.08
2025-10-14,3355.48
2025-10-15,2762.12
2025-10-16,3007.08
2025-10-17,3254.35
2025-10-18,2447.63
2025-10-19,2491.72
2025-10-20,2722.22
2025-10-21,2454.43
2025-10-22,3098.66
2025-10-23,3227.83
2025-10-24,3291.01
2025-10-25,2491.98
2025-10-26,2073.52
2025-10-27,2532.84
2025-10-28,3071.95
2025-10-29,3164.59
2025-10-30,3299.98
2025-10-31,2898.63
2025-11-01,2978.91
2025-11-02,2603.75
2025-11-03,2208.12
2025-11-04,3588.76
2025-11-05,3277.77
2025-11-06,2884.83
2025-11-07,3345.78
2025-11-08,2663.0
2025-11-09,2798.13
2025-11-10,2816.18
2025-11-11,2828.99
2025-11-12,3470.81
2025-11-13,3412.22
2025-11-14,3441.6
2025-11-15,3570.62
2025-11-16,2534.56
2025-11-17,2288.65
2025-11-18,2854.52
2025-11-19,2983.23
2025-11-20,3311.43
2025-11-21,3343.51
2025-11-22,3130.76
2025-11-23,2902.51
